baseline,seed,region,tS_wis_h1,tS_wis_h2,tS_wis_h3,tS_wis_h4,tS_cov95_h1,tS_cov95_h2,tS_cov95_h3,tS_cov95_h4
cg_mamba,42,hhs1,0.20909468746622484,0.3049724832914497,0.39578616611255013,0.49247097676963864,1.0,0.9666666666666667,0.9337748344370861,0.9078947368421053
cg_mamba,123,hhs1,0.20813495548076044,0.3055600732806879,0.42524937057336853,0.5221928977600491,1.0,0.96,0.9271523178807947,0.9013157894736842
cg_mamba,456,hhs1,0.20815617613144194,0.308426975648603,0.40569924745000846,0.4892503570511358,1.0,0.9666666666666667,0.9271523178807947,0.9013157894736842
cg_mamba,789,hhs1,0.20572024073955802,0.2998435716785781,0.393548725914387,0.48026314614173016,1.0,0.9533333333333334,0.9337748344370861,0.9078947368421053
cg_mamba,1024,hhs1,0.20808995472187297,0.30733824236646035,0.40212606181807564,0.5112001091125421,1.0,0.9666666666666667,0.9271523178807947,0.9013157894736842
cg_mamba,42,hhs2,0.33108444512063273,0.42631180741689917,0.5188268971942143,0.620868120505014,1.0,0.98,0.9205298013245033,0.881578947368421
cg_mamba,123,hhs2,0.3221541528001958,0.4004061578466826,0.5115701734337355,0.6135734321198536,1.0,0.98,0.9139072847682119,0.8618421052631579
cg_mamba,456,hhs2,0.32364033970341516,0.41865119841807596,0.5061851137989515,0.5932828578939888,1.0,0.98,0.9205298013245033,0.868421052631579
cg_mamba,789,hhs2,0.3198549716727261,0.4053573187982856,0.5008395477459247,0.5878264704497225,1.0,0.98,0.9205298013245033,0.881578947368421
cg_mamba,1024,hhs2,0.32119110735276174,0.40243426813043176,0.4711046117208282,0.5600711510044047,1.0,0.98,0.9337748344370861,0.8881578947368421
cg_mamba,42,hhs3,0.24450376166943452,0.2914843572100151,0.3318131513504602,0.37464719239981253,1.0,1.0,0.9867549668874173,0.9736842105263158
cg_mamba,123,hhs3,0.2430798417616132,0.2889375489606486,0.3478132822368413,0.3895230015886759,1.0,0.9866666666666667,0.9801324503311258,0.9671052631578947
cg_mamba,456,hhs3,0.24273268868302297,0.29125685949127045,0.3339703008405862,0.3686385310341751,1.0,0.9866666666666667,0.9867549668874173,0.9736842105263158
cg_mamba,789,hhs3,0.24253743464370822,0.2903805399947795,0.33193102709852246,0.37203805701231857,1.0,0.9933333333333333,0.9801324503311258,0.9736842105263158
cg_mamba,1024,hhs3,0.24296615658107507,0.2900237531275121,0.323366067171837,0.36719868671331446,1.0,0.9866666666666667,0.9801324503311258,0.9802631578947368
cg_mamba,42,hhs4,0.3671757346294453,0.47064615906575225,0.5440988754573697,0.6183361089040198,1.0,0.9533333333333334,0.9271523178807947,0.9144736842105263
cg_mamba,123,hhs4,0.36096552687680283,0.454477323804162,0.5278403697205384,0.5800389820113824,1.0,0.9533333333333334,0.9403973509933775,0.9210526315789473
cg_mamba,456,hhs4,0.36549954689948194,0.4684024983360567,0.5368836668305843,0.5889636237065485,1.0,0.9533333333333334,0.9470198675496688,0.9276315789473685
cg_mamba,789,hhs4,0.3629088464825119,0.46817144060012766,0.5435952388935105,0.6062110863863808,1.0,0.9466666666666667,0.9337748344370861,0.9210526315789473
cg_mamba,1024,hhs4,0.361532959366694,0.45574871630579933,0.5089705162754562,0.5574579551744372,1.0,0.9533333333333334,0.9536423841059603,0.9276315789473685
cg_mamba,42,hhs5,0.24900746435844898,0.3134041942053017,0.37568122986385805,0.44688810653329014,1.0,1.0,0.9867549668874173,0.9539473684210527
cg_mamba,123,hhs5,0.247183046495561,0.30822762887008315,0.38018555097035783,0.44371070973545007,1.0,1.0,0.9735099337748344,0.9539473684210527
cg_mamba,456,hhs5,0.24704515958586196,0.306605331938512,0.3658215394083758,0.42282575354749063,1.0,1.0,0.9735099337748344,0.9671052631578947
cg_mamba,789,hhs5,0.2466061918324778,0.30866450854653177,0.3678647160834078,0.433054760780828,1.0,1.0,0.9801324503311258,0.9539473684210527
cg_mamba,1024,hhs5,0.24781290121995805,0.30785434589588906,0.36226853571343437,0.4273206906632747,1.0,1.0,0.9801324503311258,0.9671052631578947
cg_mamba,42,hhs6,0.34921818140691824,0.485985673510942,0.5863009946001663,0.6796248990728762,1.0,0.9333333333333333,0.8807947019867549,0.8355263157894737
cg_mamba,123,hhs6,0.33785135856904075,0.45822743742753214,0.5815297407503237,0.6818711720368672,1.0,0.94,0.8807947019867549,0.8223684210526315
cg_mamba,456,hhs6,0.3382241712939808,0.47137941682888446,0.5680461256633371,0.6442330082075073,1.0,0.9466666666666667,0.8807947019867549,0.8157894736842105
cg_mamba,789,hhs6,0.33715448935930975,0.4663253179854147,0.5725240629423525,0.6555425942965818,1.0,0.9466666666666667,0.8940397350993378,0.8289473684210527
