model,train_period,n_seasons,status,val_h1_mae,test_h1_mae,tS_h1_mae,val_h2_mae,test_h2_mae,tS_h2_mae,val_h3_mae,test_h3_mae,tS_h3_mae,val_h4_mae,test_h4_mae,tS_h4_mae
sarima,17_seasons_full,17,OK,0.15048228000230565,0.13976578638525147,0.15457645088885508,0.24234548621559346,0.2601209935189417,0.2940921759941854,0.3287044791791206,0.3731979253043467,0.4210721603973379,0.3816749513241959,0.4630980271389271,0.5182915420981569
sarima,13_seasons,13,OK,0.14286346991225485,0.13040915925920782,0.14147080883912413,0.23504198753007655,0.24981110116217675,0.2804109975186264,0.3229683299529762,0.35819073285740094,0.40289137289194654,0.3705881872058676,0.4439439710578047,0.4945555001283749
sarima,10_seasons,10,OK,0.15726734522584068,0.1342901919620183,0.14753509453439503,0.2672942547903232,0.24161253402817065,0.275489716835455,0.35672428183634536,0.3338519958406098,0.3784426889829194,0.4294588011130888,0.41685975245944085,0.46679347668648746
sarima,7_seasons,7,OK,0.15178403023082992,0.10723942955747184,0.11430976169373332,0.2375457463799216,0.18731461353218115,0.20426010144301535,0.30703724953691847,0.2533163154611571,0.27648731569151136,0.34468692563122844,0.30420633625023275,0.3333546149339638
sarima,5_seasons,5,OK,0.13816573888575126,0.11579110903118757,0.11844593313182529,0.22239364371917517,0.2062587043139656,0.21743540113559104,0.29999054520824764,0.29049946801848964,0.3052208958140703,0.33397349907870794,0.3493176059225709,0.3618916789281845
sarima,4_seasons,4,OK,0.1323955071329434,0.11323546924771258,0.11617887703675092,0.20907327661786546,0.20227580026003555,0.21386211991172321,0.28420756957793,0.28371895166843775,0.30012850466625524,0.3174164709832495,0.34013561142907206,0.3546347051255907
sarima,3_seasons,3,OK,0.13897453245571975,0.11615655908455058,0.11217385405927417,0.22613149297721558,0.20544793925206142,0.20416188282686573,0.2967140300749191,0.2817396031453515,0.27766183619909,0.33193551293265255,0.33530611299422064,0.32236079773101073
