tF_mae_h1,tS_mae_h1,tF_mae_h2,tS_mae_h2,tF_mae_h3,tS_mae_h3,tF_mae_h4,tS_mae_h4,n_full,n_strict,baseline,seed
0.3592315719676835,0.35771570319129337,0.4962273328346717,0.49903406936773087,0.5857292705387369,0.5872023751484723,0.7147814580658507,0.6717571975595911,254,149,patchtst,42
0.35793740102179017,0.3351982850237697,0.4444621549536979,0.4479636218074809,0.5255519991916836,0.49379988500006516,0.6036798306749478,0.5648787783072103,254,149,patchtst,123
0.36330034812043993,0.3791692045042325,0.47154558637357413,0.47868762723916986,0.555447695745311,0.5605566480729736,0.6192440377926927,0.5988397884899902,254,149,patchtst,456
0.33737851481697206,0.31598941635808847,0.4252535852395457,0.41050686235290224,0.5028676825587185,0.5219896367967383,0.5832505689278442,0.563148323531955,254,149,patchtst,789
0.2837163574526225,0.25770888296003946,0.3689984158537019,0.3614243383110309,0.4495959982724073,0.4292966562144191,0.5269865516307317,0.522383452186437,254,149,patchtst,1024
0.46735935192973493,0.3728360957534645,0.6433159402020703,0.50516632280797,0.7629175627810502,0.5787069316327471,0.8778729814893688,0.6428967737613553,254,149,itransformer,42
0.4946652147176667,0.37813119175846555,0.660845743054857,0.5293240554928091,0.818341321832774,0.6281274898623126,0.8995488413174662,0.6955956863404554,254,149,itransformer,123
0.38065410226396,0.37564642870429266,0.556652613840219,0.4656182177968712,0.7194138369035953,0.5203568220216278,0.854737488569298,0.5728817709797375,254,149,itransformer,456
0.467377963148931,0.3889767530321026,0.697108373998028,0.5246562397962944,0.8353450393927555,0.6413204098837442,0.8346310797964606,0.6274422692426704,254,149,itransformer,789
0.4108037163767904,0.3937893163204738,0.5800545706667694,0.4801449297056618,0.7149165326732018,0.5557627966739692,0.8062832230004628,0.6443840502192368,254,149,itransformer,1024
0.7711578119807087,0.6553774821883206,0.8150242944188553,0.6517253297174552,0.8741630078549245,0.6651686030128284,0.941366600406131,0.7216423837826318,254,149,timesnet,42
0.7421546637172893,0.632171299222353,0.8936297526282411,0.7113075776905199,0.947597896886385,0.6986133602050161,1.0355825253942714,0.7723747735847138,254,149,timesnet,123
0.4943778655501813,0.4022189291468934,0.638361984952071,0.5110885703296061,0.7746415423128421,0.6388002863446688,0.9262198096624696,0.699593407757048,254,149,timesnet,456
0.6637083891463497,0.4899335743815466,0.7604513783488293,0.5965276870568735,0.8986175320391625,0.6694257393411975,0.9841753156168641,0.717482298761668,254,149,timesnet,789
0.6706147228899824,0.5816165653457104,0.819026393462405,0.6019001496840913,0.9819755976459692,0.7525170113476132,1.0705925923929482,0.8144532206387688,254,149,timesnet,1024
0.7001663176469469,0.6321706266180941,0.7373929151993838,0.5915249337851607,0.8310379977095359,0.6526400413625258,0.9300892351339727,0.7855924727820871,254,149,nbeats,42
0.5344666054256615,0.4532531207339376,0.63058107125619,0.5351195787094946,0.7220685756249365,0.6214618942214275,0.8345109893862871,0.691836913376642,254,149,nbeats,123
0.6568433462117137,0.5686028363341318,0.7186788242946507,0.5954490089480254,0.7357554017655754,0.5787588490238842,0.7742208902557123,0.5974261897763687,254,149,nbeats,456
0.5974846457315458,0.4895320329904834,0.6874799471310071,0.5366624939110812,0.7996221425129173,0.626405234987737,0.9100823373998569,0.7531132072993675,254,149,nbeats,789
0.6756529702532577,0.6024599452915116,0.7295727572888976,0.642863522739009,0.8080616965920606,0.7345603158675849,0.952505502480788,0.9175825096856389,254,149,nbeats,1024
0.3657587922427289,0.25576522800062723,0.5467073533577207,0.3878315786842334,0.7164654229190601,0.501029684322188,0.8316954074264498,0.554543162780366,254,149,epideep,42
0.22324663590174007,0.21772238978940142,0.36626999005042693,0.3803292535284025,0.4977552533009334,0.5258223558857201,0.6090256171844621,0.6515048538528709,254,149,epideep,123
0.242830509531193,0.2485713202657802,0.38255572447387937,0.39749785238414886,0.5073080499849403,0.5207248553520352,0.612890195773533,0.629357693192693,254,149,epideep,456
0.32869889912008565,0.3023034389213056,0.4870258701708412,0.4639684457810667,0.6391968271035571,0.6306115935281328,0.7744039707188163,0.7950419790149208,254,149,epideep,789
0.34621978793640157,0.3134243272148587,0.5052764116978115,0.4872863669257578,0.6874666804943526,0.6602209981881384,0.8323769508778772,0.801726995920003,254,149,epideep,1024
0.21037917551737778,0.2660595996957985,0.389089550665827,0.498985367322783,0.5387511295599926,0.6876338302626402,0.6744694368252075,0.8578400036028255,254,149,persistence,-1
