baseline,seed,n_full,n_strict,dropout,tF_wis_h1,tF_cov95_h1,tS_wis_h1,tS_cov95_h1,tF_wis_h2,tF_cov95_h2,tS_wis_h2,tS_cov95_h2,tF_wis_h3,tF_cov95_h3,tS_wis_h3,tS_cov95_h3,tF_wis_h4,tF_cov95_h4,tS_wis_h4,tS_cov95_h4,region
patchtst,42,254,149,0.1,0.27837714055575397,0.6496062992125984,0.2894677358896175,0.7315436241610739,0.3874783155204488,0.5551181102362205,0.4229459881452506,0.6308724832214765,0.4532551035338306,0.5511811023622047,0.4890069717003578,0.6644295302013423,0.5466544537404753,0.4921259842519685,0.5643874288257511,0.610738255033557,hhs1
patchtst,123,254,149,0.1,0.2895386042046459,0.6692913385826772,0.28638707599579544,0.785234899328859,0.3636277139905518,0.6141732283464567,0.3930084525034167,0.7248322147651006,0.4290771735445521,0.6377952755905512,0.4546564870704018,0.7516778523489933,0.4934580840372741,0.594488188976378,0.520226578892275,0.738255033557047,hhs1
patchtst,456,254,149,0.1,0.28713687731497034,0.6614173228346457,0.29836111048389213,0.7583892617449665,0.3735884840410739,0.5866141732283464,0.3782894364380701,0.7046979865771812,0.44247585699003017,0.5433070866141733,0.4606632017569254,0.6308724832214765,0.5018314516593316,0.5551181102362205,0.5257250552992102,0.6711409395973155,hhs1
patchtst,789,254,149,0.1,0.27769908470281157,0.6377952755905512,0.26040866598799967,0.7785234899328859,0.3511451006654794,0.6299212598425197,0.3576619530089075,0.738255033557047,0.43157642337223545,0.6338582677165354,0.47786865765514214,0.7315436241610739,0.5041725700874059,0.6062992125984252,0.5304085725390218,0.7449664429530202,hhs1
patchtst,1024,254,149,0.1,0.21099667862315624,0.8582677165354331,0.19907027941154765,0.9395973154362416,0.32177189369851067,0.7795275590551181,0.35063325332273665,0.8590604026845637,0.40307740453676605,0.7401574803149606,0.4435696229986142,0.8389261744966443,0.4379910929697504,0.7086614173228346,0.5060418560013945,0.785234899328859,hhs1
lstm,42,254,149,0.3,0.27424757208574396,0.6299212598425197,0.27702136024463136,0.6912751677852349,0.4860834669557714,0.4448818897637795,0.4878537442011425,0.5100671140939598,0.6181384967305774,0.3700787401574803,0.6074888148901239,0.42953020134228187,0.791066394791808,0.25984251968503935,0.7889807801685634,0.2953020134228188,hhs2
lstm,123,254,149,0.3,0.25831369109428814,0.6692913385826772,0.26929388513257563,0.7181208053691275,0.4708764981315463,0.4645669291338583,0.49794013356028477,0.46308724832214765,0.6668795949420632,0.3464566929133858,0.7198078027552823,0.3288590604026846,0.8454646649025189,0.27165354330708663,0.9075580733713617,0.28859060402684567,hhs2
lstm,456,254,149,0.3,0.3180932305096682,0.65748031496063,0.3460895606829329,0.7248322147651006,0.5306139441258448,0.421259842519685,0.5780706892512372,0.42953020134228187,0.7823777121825808,0.3031496062992126,0.838915542635446,0.3087248322147651,0.9532903889343983,0.21653543307086615,1.0080369607341995,0.2214765100671141,hhs2
lstm,789,254,149,0.3,0.31538626873546255,0.5669291338582677,0.3423587865240901,0.5771812080536913,0.48479847117916686,0.3937007874015748,0.5007795370428633,0.38926174496644295,0.6143030973821012,0.33858267716535434,0.6203484323367734,0.3422818791946309,0.7623773547699908,0.24015748031496062,0.7489658081051487,0.24161073825503357,hhs2
lstm,1024,254,149,0.3,0.33952432882098127,0.5590551181102362,0.3478109992404425,0.6040268456375839,0.5480359655479909,0.35826771653543305,0.6170952360145475,0.3221476510067114,0.7548315004868199,0.2283464566929134,0.8622854815499584,0.19463087248322147,0.9168479681538416,0.16141732283464566,1.0534155609126268,0.14093959731543623,hhs2
