tF_wis_h1,tF_cov95_h1,tS_wis_h1,tS_cov95_h1,tF_wis_h2,tF_cov95_h2,tS_wis_h2,tS_cov95_h2,tF_wis_h3,tF_cov95_h3,tS_wis_h3,tS_cov95_h3,tF_wis_h4,tF_cov95_h4,tS_wis_h4,tS_cov95_h4,n_full,n_strict,region,baseline,seed
0.13977613013646575,0.905511811023622,0.1535422787983315,0.9060402684563759,0.27770023349467055,0.8622047244094488,0.3039194264086867,0.8657718120805369,0.3996651402096761,0.8110236220472441,0.44215460728400086,0.8389261744966443,0.5056077680111197,0.8110236220472441,0.5491853679032493,0.8389261744966443,254,149,hhs1,dlinear,-1
0.1699750249920972,0.8267716535433071,0.16567186052374294,0.8926174496644296,0.25856920974573505,0.8858267716535433,0.25838808488407683,0.8993288590604027,0.3152321287547336,0.9173228346456693,0.3211648846659757,0.9261744966442953,0.38036824197863567,0.8188976377952756,0.37303161248667716,0.8926174496644296,254,149,hhs1,lstm,42
0.15151782896641522,0.8464566929133859,0.13862813334222762,0.912751677852349,0.23312587294429846,0.8464566929133859,0.22163712456584858,0.9060402684563759,0.29741126684180985,0.8385826771653543,0.29002157947061374,0.9261744966442953,0.35794064770151546,0.8307086614173228,0.3370731675865042,0.9395973154362416,254,149,hhs1,lstm,123
0.172829549399162,0.8464566929133859,0.16380904488459042,0.9328859060402684,0.2598651834199476,0.8267716535433071,0.2550645482049315,0.9328859060402684,0.31292105280862353,0.8307086614173228,0.31383734634095684,0.9463087248322147,0.374149312547311,0.8110236220472441,0.36643961623523,0.9463087248322147,254,149,hhs1,lstm,456
0.2006211193467731,0.8385826771653543,0.20254222416696774,0.9395973154362416,0.293250997819878,0.8110236220472441,0.2933728021153809,0.9395973154362416,0.33301462305081986,0.8385826771653543,0.34056605208203455,0.9395973154362416,0.38544537893235786,0.8149606299212598,0.3908584626597757,0.9328859060402684,254,149,hhs1,lstm,789
0.20465838400278116,0.8188976377952756,0.19553508574984863,0.8926174496644296,0.30455957334623673,0.8110236220472441,0.3043266085870655,0.8926174496644296,0.3762421458035256,0.7992125984251969,0.37957990632101063,0.8791946308724832,0.44121140998969943,0.7952755905511811,0.43810199792916266,0.8859060402684564,254,149,hhs1,lstm,1024
0.2229519904493375,0.9133858267716536,0.22858424402482547,0.8859060402684564,0.3284544701460441,0.7677165354330708,0.3069618342189823,0.8657718120805369,0.39230584620254394,0.7598425196850394,0.3641007635308894,0.8791946308724832,0.46268712810369966,0.7559055118110236,0.4032462122643618,0.8859060402684564,254,149,hhs1,vanilla_mamba,42
0.1940509912817258,0.937007874015748,0.22728837670545343,0.8993288590604027,0.28140532354570286,0.905511811023622,0.30982219842966785,0.8926174496644296,0.3455883303101339,0.84251968503937,0.35161989573518404,0.87248322147651,0.4115594789963648,0.8031496062992126,0.3938244100794692,0.8657718120805369,254,149,hhs1,vanilla_mamba,123
0.1928359158693401,0.9330708661417323,0.2213972489293156,0.8993288590604027,0.2702681492630108,0.9133858267716536,0.2977582624402851,0.8859060402684564,0.3371171026618142,0.889763779527559,0.3429591932121504,0.8859060402684564,0.3919368486739045,0.8346456692913385,0.37791967570229634,0.87248322147651,254,149,hhs1,vanilla_mamba,456
0.19586477353695234,0.937007874015748,0.1946079197877732,0.9194630872483222,0.3183083439633628,0.9212598425196851,0.2975877520491359,0.9060402684563759,0.4030475626369274,0.6259842519685039,0.3616712087484725,0.8187919463087249,0.4412687601666503,0.6496062992125984,0.39684318578355854,0.8187919463087249,254,149,hhs1,vanilla_mamba,789
