baseline,seed,n_full,n_strict,dropout,tF_wis_h1,tF_cov95_h1,tS_wis_h1,tS_cov95_h1,tF_wis_h2,tF_cov95_h2,tS_wis_h2,tS_cov95_h2,tF_wis_h3,tF_cov95_h3,tS_wis_h3,tS_cov95_h3,tF_wis_h4,tF_cov95_h4,tS_wis_h4,tS_cov95_h4,region
epideep,42,254,149,0.1,0.17454580884805612,0.610236220472441,0.14435485731583142,0.7651006711409396,0.2829319465837835,0.4763779527559055,0.24733685919954645,0.5973154362416108,0.3786181663194571,0.4015748031496063,0.3267137138456376,0.5033557046979866,0.44188947981476623,0.39763779527559057,0.35967673693579494,0.5369127516778524,hhs5
epideep,123,254,149,0.1,0.17349270262040942,0.5275590551181102,0.15864587341387695,0.6510067114093959,0.25742383025369797,0.4330708661417323,0.2662836254136118,0.4899328859060403,0.3097919806747741,0.452755905511811,0.33216704591886975,0.5033557046979866,0.36024795461814624,0.421259842519685,0.39391261109765396,0.4563758389261745,hhs5
epideep,456,254,149,0.1,0.162029018231101,0.5708661417322834,0.1354479246538514,0.6644295302013423,0.2527512594867716,0.452755905511811,0.24646817253200873,0.5100671140939598,0.32413160516000783,0.3464566929133858,0.32717076908908993,0.38926174496644295,0.3737545751622383,0.3543307086614173,0.3874588010865605,0.38926174496644295,hhs5
epideep,789,254,149,0.1,0.17292090764649923,0.6299212598425197,0.1376129642058504,0.7718120805369127,0.25234434779010295,0.547244094488189,0.23465177512930685,0.6442953020134228,0.3057976304611924,0.4881889763779528,0.3089655055651381,0.5436241610738255,0.35520925568513007,0.48031496062992124,0.38224429720078396,0.5369127516778524,hhs5
epideep,1024,254,149,0.1,0.16903446302965708,0.547244094488189,0.15056512336272487,0.6577181208053692,0.2638508354003444,0.452755905511811,0.2590299515385721,0.5436241610738255,0.34031405892739636,0.3858267716535433,0.3279953559784386,0.48322147651006714,0.40182571535162914,0.36220472440944884,0.37385253124771717,0.44966442953020136,hhs5
dlinear_ensemble_gauss,-1,254,149,,0.16266066147161817,0.4448818897637795,0.18452680041338596,0.4228187919463087,0.3104040502556379,0.30708661417322836,0.3426141493249901,0.3087248322147651,0.4173050630343561,0.2637795275590551,0.4597998527562097,0.2483221476510067,0.523374102466974,0.2440944881889764,0.5736270761165347,0.28859060402684567,hhs5
epideep,42,254,149,0.1,0.4905223931208411,0.24803149606299213,0.47222825492110165,0.28187919463087246,0.7547145962356011,0.19291338582677164,0.7533862128084174,0.22818791946308725,1.037944268495589,0.15748031496062992,1.0331360757370054,0.174496644295302,1.2628962964582673,0.17716535433070865,1.279581310721226,0.16778523489932887,hhs6
epideep,123,254,149,0.1,0.34638864223892174,0.37401574803149606,0.3911866208275241,0.436241610738255,0.5626504623165527,0.2559055118110236,0.6836270567846952,0.2348993288590604,0.7686444899218412,0.1732283464566929,0.9537459040827329,0.1610738255033557,0.9331344681676224,0.14960629921259844,1.1861926154917102,0.12080536912751678,hhs6
epideep,456,254,149,0.1,0.32328540205118883,0.40551181102362205,0.3554625912018062,0.4697986577181208,0.5659424898648703,0.2283464566929134,0.6546657646858974,0.2684563758389262,0.7953948906585396,0.17716535433070865,0.9364232728604432,0.18120805369127516,0.958884853302045,0.1732283464566929,1.1518873108530796,0.16778523489932887,hhs6
epideep,789,254,149,0.1,0.36009876313212796,0.38188976377952755,0.3773909895939071,0.4228187919463087,0.5952421790731766,0.2677165354330709,0.6555307479453637,0.2953020134228188,0.854934122967867,0.19291338582677164,0.9851771417297565,0.2080536912751678,1.0688953876957545,0.15354330708661418,1.2857485338528094,0.1342281879194631,hhs6
epideep,1024,254,149,0.1,0.46548014717747277,0.2559055118110236,0.49028488195217285,0.28859060402684567,0.7133357201441638,0.15354330708661418,0.7997710261462833,0.1476510067114094,0.9963599373253802,0.14566929133858267,1.1114216626633142,0.1476510067114094,1.2024843190770593,0.1377952755905512,1.3426735151936755,0.12751677852348994,hhs6
dlinear_ensemble_gauss,-1,254,149,,0.29238068849066096,0.41732283464566927,0.30701068297909306,0.3825503355704698,0.532153159441653,0.2755905511811024,0.5580719815578034,0.24161073825503357,0.7346072425398543,0.2047244094488189,0.816094394970209,0.12080536912751678,0.9202176086923624,0.1889763779527559,1.0295990691241266,0.12751677852348994,hhs6
