sample_idx,horizon,target_ep,mu_CGM_raw,mu_HMM_raw,y_raw,sigma2_within,sigma2_between_HMM,bias_sq,sigma2_total
0,1,202240,2.6466827392578125,3.1087942123413086,2.612569808959961,1.100166916847229,0.20472165942192078,0.13353651762008667,1.3048886060714722
0,2,202241,2.960669994354248,3.0380959510803223,3.007629871368408,1.061923861503601,0.2740001678466797,0.0037486753426492214,1.3359240293502808
0,3,202242,3.1810879707336426,2.975770950317383,3.3197498321533203,1.0282102823257446,0.32989007234573364,0.026360657066106796,1.358100414276123
0,4,202243,3.372415065765381,2.9386985301971436,4.368199825286865,1.0081565380096436,0.36083072423934937,0.11763006448745728,1.3689873218536377
1,1,202241,2.871525526046753,3.273026466369629,3.007629871368408,1.1890041828155518,0.019655151292681694,0.1008043959736824,1.208659291267395
1,2,202242,3.108318328857422,3.285813570022583,3.3197498321533203,1.1959213018417358,0.0038303546607494354,0.01970059424638748,1.199751615524292
1,3,202243,3.269284248352051,3.288317918777466,4.368199825286865,1.1972758769989014,0.000707529834471643,0.00022654359054286033,1.1979833841323853
1,4,202244,3.4023473262786865,3.2887957096099854,5.421440124511719,1.1975343227386475,0.00011053336493205279,0.008062927052378654,1.197644829750061
2,1,202242,3.3327736854553223,3.2886788845062256,3.3197498321533203,1.197471261024475,0.000256548315519467,0.0012158607132732868,1.1977277994155884
2,2,202243,3.6143434047698975,3.288882255554199,4.368199825286865,1.1975812911987305,2.257721462228801e-06,0.06623753160238266,1.197583556175232
2,3,202244,3.788412094116211,3.288884162902832,5.421440124511719,1.1975822448730469,2.0690529289879578e-09,0.15603628754615784,1.1975822448730469
2,4,202245,3.932741403579712,3.288884162902832,5.735219955444336,1.1975822448730469,1.916015496218268e-13,0.2592301070690155,1.1975822448730469
3,1,202243,3.73655366897583,3.2888400554656982,4.368199825286865,1.1975584030151367,5.526375389308669e-05,0.12534502148628235,1.1976137161254883
3,2,202244,4.057672500610352,3.2888829708099365,5.421440124511719,1.1975815296173096,1.6061347878348897e-06,0.36959099769592285,1.1975830793380737
3,3,202245,4.255054473876953,3.288884162902832,5.735219955444336,1.1975822448730469,2.3061993204009923e-08,0.5837327241897583,1.1975822448730469
3,4,202246,4.407601833343506,3.288884162902832,5.917929649353027,1.1975822448730469,1.6253971779622844e-10,0.7826136350631714,1.1975822448730469
4,1,202244,4.929386138916016,3.288884162902832,5.421440124511719,1.1975822448730469,2.849356477602245e-29,1.6829065084457397,1.1975822448730469
4,2,202245,5.310428619384766,3.288884162902832,5.735219955444336,1.1975822448730469,2.027486073529917e-31,2.55548357963562,1.1975822448730469
4,3,202246,5.470087051391602,3.288884162902832,5.917929649353027,1.1975822448730469,2.027486073529917e-31,2.975078582763672,1.1975822448730469
4,4,202247,5.546204090118408,3.288884162902832,7.425310134887695,1.1975822448730469,2.027486073529917e-31,3.1863436698913574,1.1975822448730469
5,1,202245,5.968575477600098,3.288884162902832,5.735219955444336,1.1975822448730469,2.027486073529917e-31,4.490305423736572,1.1975822448730469
5,2,202246,6.276691436767578,3.288884162902832,5.917929649353027,1.1975822448730469,2.027486073529917e-31,5.582277774810791,1.1975822448730469
5,3,202247,6.294432640075684,3.288884162902832,7.425310134887695,1.1975822448730469,2.027486073529917e-31,5.648769378662109,1.1975822448730469
5,4,202248,6.209127426147461,3.288884162902832,7.218219757080078,1.1975822448730469,2.027486073529917e-31,5.332667827606201,1.1975822448730469
6,1,202246,6.019258499145508,3.288884162902832,5.917929649353027,1.1975822448730469,2.027486073529917e-31,4.661770820617676,1.1975822448730469
6,2,202247,6.139908790588379,3.288884162902832,7.425310134887695,1.1975822448730469,2.027486073529917e-31,5.0828633308410645,1.1975822448730469
6,3,202248,5.934101104736328,3.288884162902832,7.218219757080078,1.1975822448730469,2.027486073529917e-31,4.375512599945068,1.1975822448730469
6,4,202249,5.659612655639648,3.288884162902832,6.870340347290039,1.1975822448730469,2.027486073529917e-31,3.5145530700683594,1.1975822448730469
7,1,202247,6.159085273742676,3.288884162902832,7.425310134887695,1.1975822448730469,2.027486073529917e-31,5.1514668464660645,1.1975822448730469
7,2,202248,6.228205680847168,3.288884162902832,7.218219757080078,1.1975822448730469,2.027486073529917e-31,5.402571201324463,1.1975822448730469
7,3,202249,6.014402389526367,3.288884162902832,6.870340347290039,1.1975822448730469,2.027486073529917e-31,4.645201683044434,1.1975822448730469
7,4,202250,5.723579406738281,3.288884162902832,6.297719955444336,1.1975822448730469,2.027486073529917e-31,3.70676851272583,1.1975822448730469
8,1,202248,7.422672271728516,3.288884162902832,7.218219757080078,1.1975822448730469,2.027486073529917e-31,10.685697555541992,1.1975822448730469
8,2,202249,7.285037040710449,3.288884162902832,6.870340347290039,1.1975822448730469,2.027486073529917e-31,9.985979080200195,1.1975822448730469
8,3,202250,7.023475646972656,3.288884162902832,6.297719955444336,1.1975822448730469,2.027486073529917e-31,8.721527099609375,1.1975822448730469
8,4,202251,6.695111274719238,3.288884162902832,6.0029296875,1.1975822448730469,2.027486073529917e-31,7.255270004272461,1.1975822448730469
9,1,202249,6.9389142990112305,3.288884162902832,6.870340347290039,1.1975822448730469,2.027486073529917e-31,8.331039428710938,1.1975822448730469
9,2,202250,6.671015739440918,3.288884162902832,6.297719955444336,1.1975822448730469,2.027486073529917e-31,7.1529860496521,1.1975822448730469
9,3,202251,6.394600868225098,3.288884162902832,6.0029296875,1.1975822448730469,2.027486073529917e-31,6.031565189361572,1.1975822448730469
9,4,202252,6.057351112365723,3.288884162902832,5.338379859924316,1.1975822448730469,2.027486073529917e-31,4.792752742767334,1.1975822448730469
10,1,202250,6.362090110778809,3.288884162902832,6.297719955444336,1.1975822448730469,2.027486073529917e-31,5.905947685241699,1.1975822448730469
10,2,202251,6.028634071350098,3.288884162902832,6.0029296875,1.1975822448730469,2.027486073529917e-31,4.693838119506836,1.1975822448730469
10,3,202252,5.7773051261901855,3.288884162902832,5.338379859924316,1.1975822448730469,2.027486073529917e-31,3.8721671104431152,1.1975822448730469
10,4,202301,5.546175956726074,3.288884162902832,3.9348199367523193,1.1975822448730469,9.992439071490347e-28,3.1862635612487793,1.1975822448730469
11,1,202251,5.8412628173828125,3.288884162902832,6.0029296875,1.1975822448730469,2.027486073529917e-31,4.073771953582764,1.1975822448730469
11,2,202252,5.527791500091553,3.288884162902832,5.338379859924316,1.1975822448730469,3.288756065156605e-22,3.1345746517181396,1.1975822448730469
11,3,202301,5.241456031799316,3.288884162902832,3.9348199367523193,1.1975822448730469,1.2479166158275209e-14,2.384077787399292,1.1975822448730469
11,4,202302,4.950152397155762,3.288884162902832,2.9455299377441406,1.1975822448730469,1.5666816732817779e-09,1.7257819175720215,1.1975822448730469
12,1,202252,5.757920265197754,3.288884162902832,5.338379859924316,1.1975822448730469,2.027486073529917e-31,3.8120741844177246,1.1975822448730469
12,2,202301,5.547287940979004,3.288884162902832,3.9348199367523193,1.1975822448730469,8.33620287500549e-28,3.189404249191284,1.1975822448730469
12,3,202302,5.255727291107178,3.288884162902832,2.9455299377441406,1.1975822448730469,6.2226275115397046e-24,2.419055223464966,1.1975822448730469
12,4,202303,4.890714645385742,3.288884162902832,2.6381099224090576,1.1975822448730469,2.3335301455049363e-20,1.604499340057373,1.1975822448730469
13,1,202301,5.2741851806640625,3.288884162902832,3.9348199367523193,1.1975822448730469,4.894207654433326e-18,2.464672327041626,1.1975822448730469
13,2,202302,5.151427745819092,3.288884162902832,2.9455299377441406,1.1975822448730469,3.5472676879200193e-11,2.169297933578491,1.1975822448730469
13,3,202303,4.911355972290039,3.288884162902832,2.6381099224090576,1.1975821256637573,2.374098357904586e-07,1.646116852760315,1.1975823640823364
13,4,202304,4.538361549377441,3.2888829708099365,2.6252200603485107,1.1975816488265991,1.4672016277472721e-06,0.9762564301490784,1.1975830793380737
14,1,202302,3.5337772369384766,3.288884162902832,2.9455299377441406,1.1975822448730469,4.837326372815964e-22,0.03750244900584221,1.1975822448730469
14,2,202303,3.251490831375122,3.288884162902832,2.6381099224090576,1.1975822448730469,7.78083100325667e-29,0.0008743698126636446,1.1975822448730469
14,3,202304,3.006448268890381,3.288884162902832,2.6252200603485107,1.1975822448730469,2.027486073529917e-31,0.04988231509923935,1.1975822448730469
14,4,202305,2.7076361179351807,3.288884162902832,2.5847699642181396,1.1975822448730469,2.027486073529917e-31,0.21126589179039001,1.1975822448730469
15,1,202303,2.582364797592163,3.288884162902832,2.6381099224090576,1.1975822448730469,4.0851504579282605e-13,0.3121437728404999,1.1975822448730469
15,2,202304,2.359280824661255,3.288884162902832,2.6252200603485107,1.1975822448730469,3.006884377040409e-15,0.5403831005096436,1.1975822448730469
15,3,202305,2.1777052879333496,3.288884162902832,2.5847699642181396,1.1975822448730469,2.764911781976016e-22,0.7721013426780701,1.1975822448730469
15,4,202306,1.9560319185256958,3.288884162902832,2.591480016708374,1.1975822448730469,2.027486073529917e-31,1.1108886003494263,1.1975822448730469
16,1,202304,2.4375011920928955,3.285520553588867,2.6252200603485107,1.1957629919052124,0.0041959285736083984,0.44969484210014343,1.1999589204788208
16,2,202305,2.3156912326812744,3.2873058319091797,2.5847699642181396,1.196738839149475,0.002007061615586281,0.5903294682502747,1.198745846748352
16,3,202306,2.2038683891296387,3.2869086265563965,2.591480016708374,1.1966313123703003,0.002881442429497838,0.7334924340248108,1.1995127201080322
16,4,202307,2.0120046138763428,3.285301923751831,2.5700998306274414,1.1958911418914795,0.005339162889868021,1.0138320922851562,1.2012302875518799
17,1,202305,2.664523124694824,3.251303195953369,2.5847699642181396,1.1772533655166626,0.046070244163274765,0.2153063863515854,1.2233235836029053
17,2,202306,2.686068058013916,3.2573790550231934,2.591480016708374,1.1805400848388672,0.03874141722917557,0.2041040062904358,1.219281554222107
17,3,202307,2.6409623622894287,3.264585256576538,2.5700998306274414,1.1844381093978882,0.02998952567577362,0.24319268763065338,1.2144275903701782
17,4,202308,2.474679946899414,3.270604133605957,2.5270700454711914,1.1876939535140991,0.022629881277680397,0.39614084362983704,1.2103238105773926
18,1,202306,2.6524555683135986,3.2721176147460938,2.591480016708374,1.1885128021240234,0.020772423595190048,0.24011321365833282,1.2092852592468262
18,2,202307,2.6953558921813965,3.280658006668091,2.5700998306274414,1.1931324005126953,0.010235794819891453,0.2142232060432434,1.2033681869506836
